location_lat,location_lng
40.6133,-103.2611
40.6162,-74.2451
40.6196,-111.9902
40.6392,-73.7639
40.6499,-75.4477
40.6615,-91.3267
40.6675,-89.6839
40.6827,-74.1693
40.7012,-74.009
40.711,-86.375
40.7187,-114.0309
40.7242,-95.0222
40.727,-99.0068
40.7344,-73.4164
40.7729,-91.1254
40.7735,-80.3825
40.7769,-79.9497
40.779,-73.9692
40.7794,-73.8803
40.7989,-74.4163
40.8034,-124.1128
40.8193,-76.8658
40.8203,-82.5178
40.8217,-72.8689
40.8505,-72.6193
40.8731,-81.8867
40.8764,-74.2828
40.8941,-97.9946
40.8967,-97.6228
40.9018,-117.8082
40.9233,-88.6213
40.9329,-90.4334
40.95,-95.9178
40.9596,-72.2519
40.9611,-98.3136
40.9845,-122.6934
41.0093,-74.7363
41.0107,-95.2624
41.0185,-93.3608
41.0189,-94.361
41.0254,-80.4134
41.0375,-81.4642
41.0624,-73.7046
41.0655,-86.1817
41.073,-71.9235
41.1008,-92.4445
41.1219,-100.6683
41.135,-106.5735
41.1382,-75.3797
41.1409,-104.8691
41.1533,-104.1302
41.1566,-105.4033
41.1795,-78.8933
41.1881,-103.6774
41.1992,-74.6259
41.209,-81.2479
41.2261,-92.4938
41.2544,-80.6739
41.2731,-111.0306
41.2747,-85.8401
41.2752,-91.6748
41.2984,-93.1114
41.3072,-85.0644
41.3165,-105.6729
41.3335,-75.7227
41.3461,-82.1794
41.393,-70.6159
41.3941,-110.4059
41.4059,-95.0465
41.4148,-96.109
41.4316,-88.4152
41.4435,-106.8275
41.448,-97.3426
41.4489,-96.52
41.4741,-73.1354
41.4836,-120.5615
41.5092,-74.265
41.5097,-72.8278
41.5163,-82.8695
41.5173,-81.6832
41.5263,-85.7862
41.5324,-71.2815
41.5412,-87.5282
41.5524,-112.0622
41.5631,-83.4764
41.5651,-81.4864
41.5725,-86.7345
41.5844,-95.3397
41.587,-83.8054
41.5945,-109.0528
41.6,-106.21
41.6101,-84.1272
41.6257,-73.8816
41.6258,-80.2123
41.6584,-70.5214
41.6667,-115.7833
41.672,-70.2697
41.6791,-70.9591
41.6875,-69.9933
41.7016,-74.795
41.7097,-92.7332
41.7222,-86.0001
41.7225,-71.4325
41.7253,-106.4594
41.7297,-107.7252
41.7367,-72.6494
41.7713,-88.4815
41.778,-80.6955
41.7837,-124.238
41.7865,-111.8519
41.8191,-110.974
41.8241,-110.557
41.828,-94.1598
41.8756,-71.0211
41.8965,-88.2512
41.9338,-88.7066
41.94,-83.4347
41.9619,-100.5689
41.9855,-97.4351
41.9905,-93.6185
42.0486,-93.8486
42.0986,-83.1611
42.1078,-77.9842
42.1106,-92.9161
42.129,-86.4151
42.147,-121.7255
42.1566,-120.3972
42.1599,-76.8916
42.1912,-71.1733
42.2186,-92.0258
42.2204,-91.1604
42.224,-83.7397
42.2367,-83.5264
42.2413,-78.3714
42.2419,-96.9814
42.2475,-89.581
42.312,-85.2414
42.3606,-71.0097
42.3914,-96.3792
42.3984,-90.7091
42.4255,-87.8634
42.4372,-93.8724
